                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.80272,                 1.3412,                  1.446,                0.63223,                0.56291,                0.60541,                0.51329,                0.76463,                 1.5331,                 1.4712,              0.0003095,              0.0003095,              0.0003095
                     78,                0.77365,                  1.292,                 1.4065,                0.60286,                0.46803,                0.64296,                0.54017,                0.78637,                 1.5191,                 1.4535,             0.00029713,             0.00029713,             0.00029713
                     79,                0.80577,                 1.3339,                 1.4268,                0.48542,                0.62687,                0.64992,                0.54696,                0.74109,                 1.5207,                 1.4268,             0.00028475,             0.00028475,             0.00028475
                     80,                0.73948,                 1.2751,                 1.3726,                0.62721,                0.44269,                0.60432,                 0.4957,                0.81255,                 1.6202,                 1.4944,             0.00027237,             0.00027237,             0.00027237
                     81,                0.73441,                 1.2419,                 1.3834,                0.71412,                0.46703,                 0.6193,                0.53164,                0.77384,                 1.5694,                 1.4619,                0.00026,                0.00026,                0.00026
                     82,                0.75975,                 1.2794,                 1.4117,                0.56683,                 0.5631,                0.64672,                0.54671,                0.76449,                 1.5207,                 1.4316,             0.00024762,             0.00024762,             0.00024762
                     83,                0.75573,                 1.2418,                 1.4144,                0.63244,                 0.5001,                0.62748,                0.52263,                0.76511,                 1.4818,                 1.4475,             0.00023525,             0.00023525,             0.00023525
                     84,                0.74775,                 1.2735,                 1.4046,                0.60821,                0.48754,                 0.6279,                 0.5165,                0.80094,                 1.4847,                 1.4671,             0.00022288,             0.00022288,             0.00022288
                     85,                0.74175,                 1.2522,                 1.3935,                0.59011,                0.51702,                0.62171,                0.53558,                0.80176,                 1.5549,                 1.4645,              0.0002105,              0.0002105,              0.0002105
                     86,                0.74232,                 1.2427,                 1.3926,                0.62468,                0.58683,                0.66504,                 0.5687,                0.79977,                 1.5379,                 1.4727,             0.00019813,             0.00019813,             0.00019813
